saleshistorykey,realestatepropertycode,salestypedsc,saledate,saleamt,propertystreetnbrnametext,propertyclasstypedsc,coolingtypedsc,dwellingtypedsc,heatingtypedsc,dwellingyearbuiltdate,storiesquantitydsc,fireplacecnt,bedroomcnt,bathroomcnt
751594041,32002324,t Applicable,1980-08-29,58150,1210 S BARTON ST 324,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,1,1
751860829,27007776,t Applicable,2016-01-08,380000,4111 S FOUR MILE RUN DR 402,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,2,2
750702309,1009025,t Applicable,1998-03-16,180000,7109 27th RD N,-Single Family Detached,None,11 - 1 Story,Forced hot air,1951,1.00,1,3,0
750963733,11010056,t Applicable,1995-01-13,212500,6916 FAIRFAX DR 316,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1994,2.00,0,0,0
750838441,5024007,t Applicable,1997-11-21,255000,4105 25th ST N,-Single Family Detached,Central air,33 - 2 1/2 sty,Hot water,1937,2.5,1,5,5
751827949,17007026,t Applicable,2017-09-19,690000,1600 CLARENDON BLVD W202,-Condo Mid-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2007,1.0,0,1,2
751547817,30017457,t Applicable,1997-12-12,124000,3369 S STAFFORD ST A1,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,1.00,0,1,2
751618201,34020133,Not Previously Assessed,1985-11-12,170500,1805 CRYSTAL DR 0611S,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1984,1.00,0,2,2
750827181,4038090,t Applicable,2021-03-22,1710000,3557 36th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1966,2.0,2,5,5
750865193,6018006,t Applicable,1989-07-14,317500,4049 21st ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1938,2.0,1,4,4
750812125,4011085,t Applicable,1999-11-29,370000,2713 N POLLARD ST,-Single Family Detached,Central air,"65 - Split-level, 5 levels",Forced hot air,1955,2.0,2,4,5
750826641,4038048,t Applicable,1985-10-01,240000,3100 N MONROE ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1960,2.0,2,6,6
750708877,1025015,t Applicable,2009-11-18,504400,2901 JOHN MARSHALL DR,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air,2013,2.25,2,5,6
751734561,14043071,t Applicable,2022-03-31,585000,880 N POLLARD ST 501,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2000,1.0,0,2,2
750852361,5057037,t Applicable,2000-03-31,290000,3310 21st AVE N,-Single Family Detached,Package unit,102- Accessory Dwelling Unit,Heat pump,2024,1.0,0,8,4
750852361,5057037,t Applicable,2000-03-31,290000,3310 21st AVE N,-Single Family Detached,Central air,31 - 2 Story,Hot water,1920,2.0,0,8,4
750721153,1062024,t Applicable,1984-06-20,129000,2422 N OHIO ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1941,2.0,1,3,3
751825477,17010163,t Applicable,2013-06-27,575000,1800 WILSON BLVD 437,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air,2007,1.0,0,2,2
750831905,5005061,t Applicable,2012-02-22,758000,2249 N WAKEFIELD ST,-Single Family Detached,None,31 - 2 Story,Hot water,1935,2.0,1,4,3
750852057,5056053,t Applicable,2018-08-01,470000,2125 N MONROE ST 00002,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1981,2.00,1,2,3
750703701,1013003,t Applicable,2001-03-29,350000,2820 N UNDERWOOD ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1950,1.00,1,3,2
750814629,4011293,t Applicable,2018-06-12,847000,2801 BEECHWOOD CIR,-Single Family Detached,Central air,61 - Bi-Level,Forced hot air,1977,1.0,1,4,4
750755433,2066016,t Applicable,2003-01-10,599000,4837 25th RD N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1940,1.5+1,2,3,4
750704221,1014020,t Applicable,1992-08-18,225000,6831 29th ST N,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1950,1.00,2,3,2
751540417,30014444,t Applicable,1987-12-29,87000,4416 36th ST S B2,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,1.00,0,1,1
751548993,30017525,t Applicable,1998-08-19,155000,3443 S STAFFORD ST B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
750708021,1022015,Not Previously Assessed,2004-08-30,1280000,6107 29th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2004,2.0,1,5,7
750753753,2059032,t Applicable,2019-07-18,825000,5001 26th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2021,2,3,5,7
750733065,2017001,Not Market Sale,1981-09-30,130000,3401 N EMERSON ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1953,1.0,3,3,3
751477673,29003148,t Applicable,1989-05-31,110000,2905 C S WOODLEY ST 00003,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1983,1.00,1,1,1
751345581,22006006,t Applicable,1997-11-03,104990,5634 7th RD S,-Side by side,Central air,91 - Side X Side,Forced hot air,1950,2.00,0,2,1
750836765,5017021,t Applicable,2022-05-23,1631000,4323 24th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1967,2.0,1,4,3
751373117,23029002,Not Market Sale,1997-04-01,160000,835 S LINCOLN ST,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1923,1.50,0,4,3
750936093,9074012,Land Sale,2018-09-14,989000,5420 11th ST N,-Single Family Detached,None,31 - 2 Story,Hot water,1900,2.00,0,4,2
750797077,3063009,Land Sale,2024-09-20,1200000,4624 26th ST N,-Single Family Detached,Central air,11 - 1 Story,Gravity,1960,1.00,2,2,3
750790689,3047127,t Applicable,2013-06-27,1140000,4471 26th ST N,-Single Family Detached,Central air,31 - 2 Story,Electric baseboard,1951,2.00,2,5,4
751723345,14051731,t Applicable,2012-05-15,550000,851 N GLEBE RD 320,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2003,1.0,1,2,2
751420077,26001076,t Applicable,2006-06-05,486000,1323 S MONROE ST,-Side by side,Central air,91 - Side X Side,Forced hot air,1980,2.00,2,4,3
750783609,3036205,t Applicable,1997-01-06,549000,3619 N UPLAND ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1924,2.00,1,3,3
751737185,22003069,Not Previously Assessed,2005-07-12,332300,801 S GREENBRIER ST 307,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,2,2
751736285,22003018,t Applicable,2014-05-28,220000,801 S GREENBRIER ST 104,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,3,1
750740989,2031016,t Applicable,1996-12-27,257000,3106 N KENSINGTON ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2012,2.0,1,0,4
751579565,31029065,t Applicable,1981-03-02,50000,2452 S MONROE ST,-Side by side,Central air,91 - Side X Side,Forced hot air,1945,2.00,0,3,2
750894285,7029012,t Applicable,2007-07-03,660000,1628 N WOODSTOCK ST,-Single Family Detached,Central air,12 - 1 Story with Attic,Hot water,1937,1.0,1,4,3
750875733,7001166,t Applicable,2019-05-02,248500,4390 LORCOM LN 612,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1961,1.00,0,1,1
751827025,27007458,t Applicable,2016-04-22,404000,4091 S FOUR MILE RUN DR 402,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,2,2
750945821,10018008,t Applicable,2002-05-23,380000,2131 N NOTTINGHAM ST,-Single Family Detached,Central air,12 - 1 Story with Attic,Hot water,1929,1.25,1,2,2
750888469,7012092,t Applicable,1996-05-15,242750,2117 N TAZEWELL CT,-Townhouse (fee simple own),Central air,71 - Townhouse End Unit,Forced hot air,1996,2.00,1,3,5
750783657,3036208,t Applicable,2010-06-28,885000,3802 N RICHMOND ST,-Single Family Detached,Central air,81 - Townhouse Center Unit,Forced hot air,1982,2.0,2,4,5
750794841,3058008,t Applicable,2017-06-29,1350000,4706 32nd ST N,-Single Family Detached,Central air,33 - 2 1/2 sty,Hot water,1930,2.50,1,4,5
751183677,17003073,t Applicable,2004-08-27,335000,1600 N OAK ST 306,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1986,1.00,0,1,1
751696529,14042654,t Applicable,2000-09-06,190975,3835 9th ST N 809E,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2000,1.0,1,2,2
751543701,30016561,t Applicable,1994-11-18,157700,4207 35th ST S,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751544209,30016592,Partial Interest,1990-11-08,78600,4261 35th ST S,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
750866473,6023009,t Applicable,1980-07-25,80000,1721 N QUEBEC ST,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1948,1.50,0,1,2
750994529,12022021,t Applicable,2020-03-30,775000,942 N LIBERTY ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1946,2.00,1,3,2
750751789,2054022,t Applicable,2009-03-20,730000,5307 26th ST N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1941,1.5,1,4,3
750833801,5011002,t Applicable,2018-03-16,1227246,2305 N COLUMBUS ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1948,2.00,1,5,4
751470177,28034750,t Applicable,1989-04-28,115000,4600 S FOUR MILE RUN DR 0715,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,3,2
751581529,31030085,Estate Sale,2022-02-18,425000,3749 S FOUR MILE RUN DR,-Side by side,Central air,91 - Side X Side,Forced hot air,1945,2.00,0,2,2
751495061,29004328,t Applicable,2018-05-17,389900,2429 S WALTER REED DR 17-5,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1983,2.00,1,2,1
750831137,5005013,Not Market Sale,2000-08-24,550000,4421 25th ST N,-Single Family Detached,Central air,31 - 2 Story,Central Warm Air,2002,2.0,2,4,5
750797949,3063075,t Applicable,1983-03-31,164200,2531 N WAKEFIELD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1976,2.0,1,5,5
751612257,33001116,"Multiple RPCs, Not A Coded S",2018-01-05,600000,1551 12th ST S,-Single Family Detached,None,11 - 1 Story,Forced hot air,1971,1.00,0,3,2
750770817,3008021,t Applicable,2017-08-21,993861,3861 CHESTERBROOK RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,1953,2.0,2,4,7
751530741,30003205,t Applicable,1994-11-15,142000,3248 S UTAH ST,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751619713,34020218,t Applicable,2024-10-10,880000,1805 CRYSTAL DR 1106S,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1984,1.00,0,3,2
750765133,2086013,Sale or Gift to Relative,1996-04-12,204200,2914 N DINWIDDIE ST,-Single Family Detached,Central air,33 - 2 1/2 sty,Forced hot air-gas,2010,2.5,1,4,7
750774049,3016012,t Applicable,1998-07-14,589000,5053 35th RD N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1995,2.0,2,5,5
750846569,5045026,t Applicable,2013-07-18,1370000,2231 MILITARY RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1997,2.00,1,5,6
750796037,3060030,Land Sale,2015-11-30,689000,4756 33rd ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2016,2.0,1,4,4
750796533,3060058,t Applicable,2018-07-02,925000,4851 OLD DOMINION DR,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,1976,2.0,3,4,4
751503161,29005757,t Applicable,1982-09-09,75871,2635 S WALTER REED DR A,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1950,1.00,0,2,1
751800753,18014283,Not Previously Assessed,2006-07-20,448475,1220 N FILLMORE ST 611,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2006,1.0,0,2,2
751381609,23039077,Not Previously Assessed,1987-04-20,149900,900 S MONROE ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1986,2.00,1,0,0
750797397,3063035,t Applicable,2021-01-04,910000,4532 26th ST N,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1951,1.0,1,3,3
750855353,6001039,t Applicable,1986-08-29,62000,4343 CHERRY HILL RD 204,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1963,1.00,0,1,1
750811717,4011058,t Applicable,2021-03-26,2070000,2750 N NELSON ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1950,2.0,3,7,8
750704833,1016007,New Construction,2017-09-06,1680000,2830 N TRINIDAD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2016,2.0,1,5,5
751726665,14025113,t Applicable,2024-03-13,670000,1000 N RANDOLPH ST 904,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2004,1.0,0,2,2
751481385,29003358,t Applicable,2005-04-29,353255,4633 B 28th RD S B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1950,1.00,1,2,1
751348933,22011026,Not Market Sale,2004-03-04,213200,853 S HARRISON ST,-Side by side,Central air,91 - Side X Side,Forced hot air,1950,2.0,0,3,3
751633533,35006155,t Applicable,1992-11-30,225000,1101 S ARLINGTON RIDGE RD 0910,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1976,1.00,0,2,3
750754745,2064008,t Applicable,2011-02-28,560900,2532 N GLEBE RD,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1955,1.0,1,3,3
751481377,29003358,t Applicable,1987-12-17,103000,4633 B 28th RD S B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1950,1.00,1,2,1
751664577,36052006,t Applicable,2018-10-11,765000,2721 S GRANT ST,-Single Family Detached,Central air,"63 - Split-level, 3 levels",Hot water,1955,0,1,3,3
750837385,5021004,t Applicable,2014-09-04,1107000,2313 N STUART ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2018,2.0,1,5,5
750808445,4006002,t Applicable,1984-05-31,154500,3188 N POLLARD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1953,2.0,1,5,7
750785493,3040011,Partial Interest,2003-12-06,50768,3542 N ABINGDON ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1960,1.00,2,4,3
750877693,7006027,t Applicable,2018-10-26,555000,4783 21st RD N,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1938,2.00,0,2,2
751858969,20015042,t Applicable,2018-11-28,877500,4336 HENDERSON RD,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air-gas,2008,3.75,1,3,5
751374981,23032013,"Multiple RPCs, Not A Coded S",2016-01-13,530000,3834 8th ST S,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2017,2.00,1,4,4
750950345,10035018,Land Sale,2016-09-12,610000,1523 MCKINLEY RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2017,2.0,1,5,5
750881409,7006271,t Applicable,2003-01-08,448000,2002 N BRANDYWINE ST,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1980,3,2,3,4
751727789,14025090,Not Previously Assessed,2004-06-02,233963,1000 N RANDOLPH ST 402,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2004,1.0,0,1,1
751762177,14029160,t Applicable,2017-08-22,374400,1001 N RANDOLPH ST 906,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,1,1
750851953,5056048,t Applicable,2007-01-23,395000,2123 N MONROE ST 00001,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1981,2.00,1,2,2
751834437,34027472,t Applicable,2013-05-15,529900,3650 S GLEBE RD 642,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2007,1.0,0,2,2
750756545,2068004,t Applicable,2006-01-17,719000,5014 25th RD N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1941,1.50,1,4,3
751830461,27007466,Not Previously Assessed,2007-09-18,408860,4075 B S FOUR MILE RUN DR,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,2.0,0,3,2
750791817,3047213,DREA Not a market Sale,2020-04-09,1750000,4411 33rd ST N,-Single Family Detached,Central air,41 - 2 & 2+ sty  Estate,Forced hot air,1983,2.0,2,4,5
750726029,1073001,Not Market Sale,2000-04-28,187500,6930 26th ST N,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1950,1.0,0,3,1
750698601,1002017,t Applicable,2019-06-20,1575000,6524 35th RD N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2005,2.0,1,5,5
751830765,27007484,t Applicable,2008-01-25,324500,4167 S FOUR MILE RUN DR 204,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,1,1
750913565,8017024,t Applicable,1987-12-18,144400,1815 N COLUMBUS ST,-Single Family Detached,Central air,62 - Split Foyer,Forced hot air,1987,1.0,0,5,3
750709037,1025023,t Applicable,1987-02-25,133500,2950 N LEXINGTON ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2019,2.0,1,5,5
751809505,34027086,Not Previously Assessed,2006-11-28,343167,3600 S GLEBE RD 212W,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2006,1.0,0,1,1
750888409,7012085,t Applicable,2000-11-03,299900,2111 N TAZEWELL CT,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1994,2.00,0,2,0
750981493,11045005,Partial Interest,1987-12-30,58050,1501 N POWHATAN ST,-Single Family Detached,Window units,22 - 1 3/4 Story,Forced hot air,1944,1.75,1,3,3
750863261,6014039,t Applicable,2004-06-18,750000,1600 N RANDOLPH ST,-Single Family Detached,Central air,31 - 2 Story,Hot water,1932,2.00,1,3,2
751815117,9053023,Not Previously Assessed,2008-02-28,1275000,5217 11th RD N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2007,2.0,1,5,5
751656605,36025001,t Applicable,1985-12-04,106000,2115 S JOYCE ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1925,1.00,1,2,2
751444909,28003072,t Applicable,2023-08-31,250000,5106 COLUMBIA PIKE 5,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1947,1.00,0,2,1
750802005,3070001,t Applicable,2013-06-13,875000,3901 N WAKEFIELD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,1990,2.0,2,4,4
751677205,37021312,t Applicable,2015-09-24,1700000,2623 S KENT ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2003,2.0,2,6,6
750788049,3046054,t Applicable,2013-05-29,1350000,4635 35th ST N,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1953,1.75,2,4,5
750895093,7032002,t Applicable,2012-04-27,835000,1629 N EDISON ST,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1939,1.75,2,4,3
750788057,3046055,t Applicable,1984-09-24,239000,4643 35th ST N,-Single Family Detached,Central air,102- Accessory Dwelling Unit,Forced hot air-gas,1980,1.5+1,0,5,6
750788057,3046055,t Applicable,1984-09-24,239000,4643 35th ST N,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1953,1.75,2,5,6
750748045,2045028,t Applicable,1981-06-15,127900,5023 27th ST N,-Single Family Detached,None,31 - 2 Story,Forced hot air,1948,2.00,2,3,0
750704641,1015023,t Applicable,2016-06-27,1655000,2815 N UNDERWOOD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2015,2.0,1,5,6
750760281,2074034,t Applicable,2002-05-15,385000,2513 N KENILWORTH ST,-Single Family Detached,Central air,"63 - Split-level, 3 levels",Forced hot air,1956,0,1,2,3
751667225,37002080,Not Previously Assessed,1985-11-18,253685,1312 19th RD S,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1985,2.0,1,4,3
751436369,28001097,t Applicable,2006-10-06,102367,1525 S GEORGE MASON DR 01,-Affordable Dwelling Unit,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,2,1
750815069,4011403,t Applicable,1983-08-03,255000,4124 27th ST N,-Single Family Detached,Central air,62 - Split Foyer,Forced hot air,1966,1.0,2,5,3
750800821,3067004,Not Previously Assessed,2022-05-06,2475000,3901 N UPLAND ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2022,2.0,1,5,6
750808769,4006019,t Applicable,1983-06-28,205000,3133 N QUINCY ST,-Single Family Detached,Central air,22 - 1 3/4 Story,Hot water,1949,1.75,2,5,4
751419117,25028006,t Applicable,2015-06-26,490000,907 S OAK ST,-Single Family Detached,Central air,35 - 3 and 3+ sty,Forced hot air-gas,2020,3.0,0,4,6
751464473,28034451,t Applicable,1981-01-12,43500,1506 S GEORGE MASON DR 01,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,1,1
750702425,1009030,Property in 2 Jurisdictions,2013-12-05,685000,2728 N YUCATAN ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1951,1.0,1,3,2
751612077,33001106,New Construction,2023-06-05,1470000,1624 12th ST S,-Single Family Detached,Central air,102- Accessory Dwelling Unit,Forced hot air,2022,1.5,0,5,5
751612077,33001106,New Construction,2023-06-05,1470000,1624 12th ST S,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air-gas,2022,2.25,2,5,5
750758425,2073044,t Applicable,1998-05-28,165000,2546 N GREENBRIER ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1949,2.0,1,4,3
750806749,4002065,Not Previously Assessed,1985-10-04,145000,3633 N NELSON ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air-gas,1987,1.0,1,2,3
751615473,33008004,t Applicable,2004-09-30,450000,1311 S QUEEN ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1949,2.00,0,2,2
751448793,28004114,t Applicable,1995-01-06,81000,5300 COLUMBIA PIKE 312,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1974,1.00,0,1,2
750816385,4011501,"Multiple RPCs, Not A Coded S",1981-05-29,392000,2757 N NELSON ST,-Single Family Detached,Central air,11 - 1 Story,Electric radiant,1949,1.00,4,5,6
751527133,30003011,t Applicable,1994-11-29,160000,4679 34th ST S,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,3,2
751523417,29013883,t Applicable,2015-04-15,425000,3060 S WOODROW ST,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1944,2.00,0,2,2
750862565,6013012,t Applicable,2001-07-20,327000,1827 N STAFFORD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2006,2.0,1,6,5
750711417,1034007,t Applicable,1992-09-15,278500,6524 27th ST N,-Single Family Detached,Central air,102- Accessory Dwelling Unit,Central Warm Air,1985,1.5,0,6,3
750711417,1034007,t Applicable,1992-09-15,278500,6524 27th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1951,2.00,1,6,3
751867101,16022047,Condo Parking Space,2021-10-18,48000,1881 N NASH ST 507,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2009,1.0,0,1,2
751592641,32001695,Financial Institution,2008-06-12,195000,2901 A 16th RD S 2901A,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1947,2.00,0,3,1
751530229,30003176,t Applicable,1999-11-22,185000,3369 S WAKEFIELD ST A,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751642869,35007076,t Applicable,2020-01-03,205000,1200 S ARLINGTON RIDGE RD 609,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1958,1.00,0,1,1
751812821,34027224,Not Previously Assessed,2006-12-08,214633,3600 S GLEBE RD 602W,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2006,1.0,0,0,1
750854541,5063005,Multiple RPCs Land Sale,2005-05-16,2500000,2819 23rd RD N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1916,1.50,1,0,3
751273401,18074160,t Applicable,2000-12-14,126000,88 N BEDFORD ST 88C,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1983,2.00,0,2,2
750796473,3060055,t Applicable,1981-10-16,138000,4805 ROCK SPRING RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2016,2.0,1,5,7
751486457,29003657,t Applicable,1985-06-27,128500,2520 A S ARLINGTON MILL DR 00001,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1982,2.00,1,2,3
751285533,19014060,t Applicable,2005-07-08,700000,886 N JACKSON ST,-Townhouse (condo own),Central air,81 - Townhouse Center Unit,Forced hot air,1981,2.0,2,3,5
750895601,7032032,t Applicable,1998-08-24,277000,4919 16th RD N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1939,1.5,1,3,3
750826869,4038065,Not Market Sale,2018-03-29,1075000,3445 ROBERTS LN,-Single Family Detached,Central air,"64 - Split-level, 4 levels",Forced hot air,1957,0,2,5,4
751566101,31013071,t Applicable,2000-12-11,199500,1929 S LANGLEY ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1989,2.00,0,3,3
751826765,27007443,t Applicable,2021-07-14,465000,4089 S FOUR MILE RUN DR 401,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,2,2
750783129,3036161,Not Market Sale,2015-05-29,885000,4324 37th RD N,-Single Family Detached,Central air,"64 - Split-level, 4 levels",Forced hot air,1954,0,2,3,3
750755425,2066016,t Applicable,1995-08-01,200000,4837 25th RD N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1940,1.5+1,2,3,4
751715853,14051376,t Applicable,2007-02-09,405000,851 N GLEBE RD 1701,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2003,1.0,1,1,1
751596657,32007079,t Applicable,2006-08-08,299000,2700 16th ST S 657,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,1,1
750799929,3066025,t Applicable,1993-05-28,179500,4422 N OLD GLEBE RD,-Single Family Detached,Central air,12 - 1 Story with Attic,Forced hot air,1933,1.00,0,3,1
750773061,3012047,Not Market Sale,2019-04-22,1400000,3374 N DICKERSON ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1949,2.0,1,5,6
750751681,2054017,t Applicable,2001-09-28,467500,5314 26th RD N,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1940,1.75,1,4,3
751333833,22001159,t Applicable,2017-04-10,155000,5111 8th RD S 012,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1961,1.00,0,2,1
751189929,17003408,t Applicable,1997-07-30,167000,1600 N OAK ST 730,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1987,1.00,0,2,2
750805293,3074016,t Applicable,1988-03-21,370000,3475 N VENICE ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1953,2.00,2,3,5
