saleshistorykey,realestatepropertycode,salestypedsc,saledate,saleamt,propertystreetnbrnametext,propertyclasstypedsc,coolingtypedsc,dwellingtypedsc,heatingtypedsc,dwellingyearbuiltdate,storiesquantitydsc,fireplacecnt,bedroomcnt,bathroomcnt
750857761,6002009,t Applicable,1989-03-30,225000,4319 19th ST N,-Single Family Detached,Central air,12 - 1 Story with Attic,Hot water,1937,1.00,1,3,3
751858061,27007691,t Applicable,2009-10-21,300000,4127 S FOUR MILE RUN DR 204,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,1,1
751881829,31001087,t Applicable,2020-12-23,336000,2912 17th ST S 304,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1952,1.0,0,3,1
751793133,18014118,t Applicable,2021-04-26,595000,1201 N GARFIELD ST 110,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2006,1.0,0,1,2
750719173,1056012,Partial Interest,2005-12-29,300000,2441 N MCKINLEY ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1948,2.00,1,2,0
750797773,3063059,t Applicable,2019-07-26,1229000,2534 N VERMONT ST,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air-gas,1951,1.5+1,1,5,4
751352537,22014075,Estate Sale,2008-08-28,137000,5353 COLUMBIA PIKE 306,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1964,1.00,0,1,2
751828409,17007040,t Applicable,2013-12-30,1120000,1600 CLARENDON BLVD W303,-Condo Mid-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2007,1.0,0,2,3
751622685,34024205,t Applicable,1987-09-14,310000,1300 CRYSTAL DR 1305S,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1981,1.00,0,2,3
751552097,30019803,t Applicable,2007-11-29,405000,3569 S STAFFORD ST B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751584545,32001110,t Applicable,1985-08-30,84000,1021 S BARTON ST 110,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,2,1
751631109,35006037,Estate Sale,2021-01-29,452500,1101 S ARLINGTON RIDGE RD 0211,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1976,1.00,0,2,3
750813657,4011187,t Applicable,1990-01-11,315000,4030 26th ST N,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1950,1.50,2,5,3
750887741,7012051,t Applicable,1985-01-31,67500,4360 CHERRY HILL RD 302,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1964,1.00,1,1,1
750862661,6013019,Land Sale,2014-12-02,750000,2021 N STAFFORD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2016,2.0,1,5,5
750875409,7001144,t Applicable,2014-10-31,203000,4390 LORCOM LN 502,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1961,1.00,0,1,1
751354213,22014163,Not Market Sale,1996-08-19,124442,5071 9th ST S,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1989,2.00,0,3,3
751333669,22001112,t Applicable,1999-12-10,120000,5611 7th RD S,-Side by side,Central air,91 - Side X Side,Forced hot air,1952,2.00,0,2,2
751465857,28034524,t Applicable,1985-11-04,68305,4600 S FOUR MILE RUN DR 0141,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,2,1
751465457,28034504,t Applicable,1992-01-15,77000,4600 S FOUR MILE RUN DR 0121,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,1,1
750802225,3070014,Land Sale,2014-02-20,715000,3856 N GLEBE RD,-Single Family Detached,Central air,33 - 2 1/2 sty,Forced hot air-gas,2015,2.50,2,5,6
750703769,1013008,t Applicable,1989-07-19,290000,6717 LITTLE FALLS RD,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1938,1.75,2,4,3
751640853,35006563,t Applicable,1988-07-14,78000,1300 ARMY NAVY DR 1002,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,1,1
751484257,29003507,t Applicable,1983-12-19,80000,2838 C S WAKEFIELD ST C,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1950,1.00,1,2,1
751726233,13041113,t Applicable,2006-11-22,959000,5724 7th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2004,2.0,2,4,4
750819885,4022008,t Applicable,2007-06-08,1136000,3725 LORCOM LN,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1940,2.0,2,3,4
750947381,10023029,t Applicable,2010-05-13,605000,5717 18th RD N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1946,2.00,2,4,4
751640321,35006539,t Applicable,2021-07-03,277500,1300 ARMY NAVY DR 0907,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,1,1
751689617,38008039,t Applicable,2009-07-09,280000,2634 S UHLE ST,-Affordable Dwelling Unit,Central air,91 - Side X Side,Forced hot air,1941,2.0,0,3,3
751473557,28034927,t Applicable,2024-03-29,182400,4600 S FOUR MILE RUN DR 1124,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,0,1
750864577,6015031,Financial Institution,2008-11-14,400000,1736 N QUEBEC ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2009,2.0,1,5,5
750743313,2035056,t Applicable,2021-10-15,922000,5400 27th RD N,-Single Family Detached,Central air,"63 - Split-level, 3 levels",Forced hot air,1955,,1,3,2
751652541,36010014,t Applicable,1997-01-14,161000,813 20th ST S,-Side by side,Central air,91 - Side X Side,Hot water,1945,2.0,2,2,2
750748617,2047009,t Applicable,2018-04-27,760000,2708 N GEORGE MASON DR,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1944,2.0,0,3,2
750893625,7027023,t Applicable,2009-03-12,638000,4413 16th ST N,-Single Family Detached,Central air,33 - 2 1/2 sty,Forced hot air-gas,2009,2.5,1,5,6
750874881,7001118,t Applicable,2005-08-02,300000,4390 LORCOM LN 212,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1961,1.00,0,1,1
750799505,3064082,Not Market Sale,2009-04-07,615000,3037 N STAFFORD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2009,2.0,1,6,6
750760433,2074042,t Applicable,2000-05-26,324500,5625 LANGSTON BLVD,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1981,3.0,2,3,4
750876605,7001213,t Applicable,2021-12-01,229000,4373 CHERRY HILL RD 208,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1961,1.00,0,1,1
751426733,26015028,"Multiple RPCs, Not A Coded S",1987-01-30,85000,1746 S WALTER REED DR,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1983,2.0,0,4,3
750885269,7009018,Financial Institution,2010-01-28,497900,2021 N WOODROW ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1950,1.00,1,6,2
751421077,26004008,t Applicable,1992-08-19,176000,3816 13th ST S,-Single Family Detached,Central air,21 - 1 1/2 Story,Forced hot air,1942,1.5,1,3,2
750844421,5039048,t Applicable,1993-03-01,220000,2124 MILITARY RD,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1969,3.00,2,3,3
751859037,20015046,t Applicable,2009-03-27,770000,459 N GEORGE MASON DR,-Townhouse (fee simple own),Central air,71 - Townhouse End Unit,Forced hot air-gas,2008,3.75,1,3,6
