saleDateKey,saleDate,year,month,day,weekday,quarter
139,5/18/1980,1980,5,18,1,2
140,5/19/1980,1980,5,19,2,2
141,5/20/1980,1980,5,20,3,2
142,5/21/1980,1980,5,21,4,2
143,5/22/1980,1980,5,22,5,2
144,5/23/1980,1980,5,23,6,2
145,5/24/1980,1980,5,24,7,2
146,5/25/1980,1980,5,25,1,2
147,5/26/1980,1980,5,26,2,2
148,5/27/1980,1980,5,27,3,2
149,5/28/1980,1980,5,28,4,2
150,5/29/1980,1980,5,29,5,2
151,5/30/1980,1980,5,30,6,2
152,5/31/1980,1980,5,31,7,2
153,6/1/1980,1980,6,1,1,2
154,6/2/1980,1980,6,2,2,2
155,6/3/1980,1980,6,3,3,2
156,6/4/1980,1980,6,4,4,2
157,6/5/1980,1980,6,5,5,2
158,6/6/1980,1980,6,6,6,2
159,6/7/1980,1980,6,7,7,2
160,6/8/1980,1980,6,8,1,2
161,6/9/1980,1980,6,9,2,2
162,6/10/1980,1980,6,10,3,2
163,6/11/1980,1980,6,11,4,2
164,6/12/1980,1980,6,12,5,2
165,6/13/1980,1980,6,13,6,2
166,6/14/1980,1980,6,14,7,2
167,6/15/1980,1980,6,15,1,2
168,6/16/1980,1980,6,16,2,2
169,6/17/1980,1980,6,17,3,2
170,6/18/1980,1980,6,18,4,2
171,6/19/1980,1980,6,19,5,2
172,6/20/1980,1980,6,20,6,2
173,6/21/1980,1980,6,21,7,2
174,6/22/1980,1980,6,22,1,2
175,6/23/1980,1980,6,23,2,2
176,6/24/1980,1980,6,24,3,2
177,6/25/1980,1980,6,25,4,2
178,6/26/1980,1980,6,26,5,2
179,6/27/1980,1980,6,27,6,2
180,6/28/1980,1980,6,28,7,2
181,6/29/1980,1980,6,29,1,2
182,6/30/1980,1980,6,30,2,2
183,7/1/1980,1980,7,1,3,3
184,7/2/1980,1980,7,2,4,3
185,7/3/1980,1980,7,3,5,3
186,7/4/1980,1980,7,4,6,3
187,7/5/1980,1980,7,5,7,3
188,7/6/1980,1980,7,6,1,3
189,7/7/1980,1980,7,7,2,3
190,7/8/1980,1980,7,8,3,3
191,7/9/1980,1980,7,9,4,3
192,7/10/1980,1980,7,10,5,3
193,7/11/1980,1980,7,11,6,3
194,7/12/1980,1980,7,12,7,3
195,7/13/1980,1980,7,13,1,3
196,7/14/1980,1980,7,14,2,3
197,7/15/1980,1980,7,15,3,3
198,7/16/1980,1980,7,16,4,3
199,7/17/1980,1980,7,17,5,3
200,7/18/1980,1980,7,18,6,3
201,7/19/1980,1980,7,19,7,3
202,7/20/1980,1980,7,20,1,3
203,7/21/1980,1980,7,21,2,3
204,7/22/1980,1980,7,22,3,3
205,7/23/1980,1980,7,23,4,3
206,7/24/1980,1980,7,24,5,3
207,7/25/1980,1980,7,25,6,3
208,7/26/1980,1980,7,26,7,3
